,Banks 100.0%,Shares,Value
0,1st Source Corp.,"121,706","6,314,107"
1,American Business Bank (A),"21,548","768,186"
2,"American National Bankshares, Inc.","93,258","3,690,219"
3,American River Bankshares,"51,829","770,697"
4,American Riviera Bank (A),"186,611","3,694,898"
5,Ameris Bancorp,"306,471","13,037,276"
6,"Atlantic Capital Bancshares, Inc. (A)","202,690","3,719,362"
7,Atlantic Union Bankshares Corp.,"252,536","9,482,727"
8,"Avidbank Holdings, Inc. (A)","200,000","4,950,000"
9,Bank of America Corp. (B),"551,669","19,429,782"
10,Bank of Commerce Holdings,"79,361","918,207"
11,Bank of Marin Bancorp,"117,462","5,291,663"
12,Bar Harbor Bankshares,"129,698","3,293,032"
13,Baycom Corp. (A),"79,604","1,810,195"
14,"Berkshire Hills Bancorp, Inc.","241,309","7,934,240"
15,BOK Financial Corp. (B)(C),"39,621","3,462,875"
16,Bremer Financial Corp. (D)(E),"41,667","4,486,234"
17,Bryn Mawr Bank Corp.,"80,000","3,299,200"
18,"Business First Bancshares, Inc.","54,269","1,352,926"
19,Cadence BanCorp,"286,424","5,192,867"
20,"California Bancorp, Inc. (A)","31,598","631,960"
21,"California Bancorp, Inc., PIPE (A)","19,085","372,158"
22,Cambridge Bancorp (B)(C),"26,971","2,161,726"
23,Camden National Corp.,"55,164","2,540,854"
24,Carolina Financial Corp.,"70,982","3,068,552"
25,"Carolina Trust Bancshares, Inc. (A)","325,000","4,241,250"
26,CenterState Bank Corp.,"117,392","2,932,452"
27,Centric Financial Corp. (A)(D),"275,000","2,614,219"
28,"Citigroup, Inc. (B)","247,747","19,792,508"
29,"Citizens Community Bancorp, Inc.","107,710","1,316,216"
30,"Citizens Financial Group, Inc.","503,303","20,439,135"
31,City Holding Company,"39,363","3,225,798"
32,"Civista Bancshares, Inc.","127,682","3,064,368"
33,Coastal Financial Corp. (A),"124,054","2,043,169"
34,"Columbia Banking System, Inc. (B)(C)","183,487","7,465,169"
35,"Comerica, Inc.","167,706","12,032,906"
36,Communities First Financial Corp. (A),"115,523","3,321,286"
37,"County Bancorp, Inc.","62,184","1,593,776"
38,"Cullen/Frost Bankers, Inc. (B)(C)","178,964","17,499,100"
39,Financials (continued),,
40,Banks (continued),,
41,"Eagle Bancorp Montana, Inc.","82,912","$1,773,488"
42,"East West Bancorp, Inc.","43,408","2,113,970"
43,"Equity Bancshares, Inc., Class A (A)","130,915","4,041,346"
44,"Evans Bancorp, Inc.","69,760","2,797,376"
45,Fifth Third Bancorp,"579,289","17,807,344"
46,"First Bancorp, Inc.","266,499","8,056,265"
